date,return
6/1/2000,0.056900000000000006
7/1/2000,0.0596
8/1/2000,0.060899999999999996
9/1/2000,0.06
10/1/2000,0.0611
11/1/2000,0.0617
12/1/2000,0.057699999999999994
1/1/2001,0.051500000000000004
2/1/2001,0.048799999999999996
3/1/2001,0.044199999999999996
4/1/2001,0.0387
5/1/2001,0.0362
6/1/2001,0.0349
7/1/2001,0.0351
8/1/2001,0.0336
9/1/2001,0.0264
10/1/2001,0.0216
11/1/2001,0.0187
12/1/2001,0.0169
1/1/2002,0.0165
2/1/2002,0.0172
3/1/2002,0.0179
4/1/2002,0.0171
5/1/2002,0.0173
6/1/2002,0.017
7/1/2002,0.0168
8/1/2002,0.016200000000000003
9/1/2002,0.0163
10/1/2002,0.0158
11/1/2002,0.0123
12/1/2002,0.011899999999999999
1/1/2003,0.011699999999999999
2/1/2003,0.011699999999999999
3/1/2003,0.0113
4/1/2003,0.0113
5/1/2003,0.010700000000000001
6/1/2003,0.0092
7/1/2003,0.009000000000000001
8/1/2003,0.0095
9/1/2003,0.009399999999999999
10/1/2003,0.0092
11/1/2003,0.009300000000000001
12/1/2003,0.009000000000000001
1/1/2004,0.0088
2/1/2004,0.009300000000000001
3/1/2004,0.009399999999999999
4/1/2004,0.009399999999999999
5/1/2004,0.0102
6/1/2004,0.0127
7/1/2004,0.013300000000000001
8/1/2004,0.0148
9/1/2004,0.0165
10/1/2004,0.0176
11/1/2004,0.0207
12/1/2004,0.0219
1/1/2005,0.0233
2/1/2005,0.0254
3/1/2005,0.0274
4/1/2005,0.0278
5/1/2005,0.028399999999999998
6/1/2005,0.0297
7/1/2005,0.0322
8/1/2005,0.0344
9/1/2005,0.0342
10/1/2005,0.0371
11/1/2005,0.0388
12/1/2005,0.038900000000000004
1/1/2006,0.0424
2/1/2006,0.0443
3/1/2006,0.0451
4/1/2006,0.046
5/1/2006,0.0472
6/1/2006,0.0479
7/1/2006,0.0495
8/1/2006,0.0496
9/1/2006,0.0481
10/1/2006,0.0492
11/1/2006,0.049400000000000006
12/1/2006,0.048499999999999995
1/1/2007,0.049800000000000004
2/1/2007,0.050300000000000004
3/1/2007,0.049400000000000006
4/1/2007,0.0487
5/1/2007,0.0473
6/1/2007,0.0461
7/1/2007,0.0482
8/1/2007,0.042
9/1/2007,0.038900000000000004
10/1/2007,0.039
11/1/2007,0.0327
12/1/2007,0.03
1/1/2008,0.0275
2/1/2008,0.0212
3/1/2008,0.0126
4/1/2008,0.0129
5/1/2008,0.0173
6/1/2008,0.018600000000000002
7/1/2008,0.0163
8/1/2008,0.0172
9/1/2008,0.0113
10/1/2008,0.0067
11/1/2008,0.0019
12/1/2008,3e-4
1/1/2009,0.0013
2/1/2009,0.003
3/1/2009,0.0021
4/1/2009,0.0016
5/1/2009,0.0018
6/1/2009,0.0018
7/1/2009,0.0018
8/1/2009,0.0017000000000000001
9/1/2009,0.0012
10/1/2009,7.000000000000001e-4
11/1/2009,5e-4
12/1/2009,5e-4
1/1/2010,6e-4
2/1/2010,0.0011
3/1/2010,0.0015
4/1/2010,0.0016
5/1/2010,0.0016
6/1/2010,0.0012
7/1/2010,0.0016
8/1/2010,0.0016
9/1/2010,0.0015
10/1/2010,0.0013
11/1/2010,0.0014000000000000002
12/1/2010,0.0014000000000000002
1/1/2011,0.0015
2/1/2011,0.0013
3/1/2011,0.001
4/1/2011,6e-4
5/1/2011,4e-4
6/1/2011,4e-4
7/1/2011,4e-4
8/1/2011,2e-4
9/1/2011,1e-4
10/1/2011,2e-4
11/1/2011,1e-4
12/1/2011,1e-4
1/1/2012,3e-4
2/1/2012,9e-4
3/1/2012,8e-4
4/1/2012,8e-4
5/1/2012,9e-4
6/1/2012,9e-4
7/1/2012,0.001
8/1/2012,0.001
9/1/2012,0.0011
10/1/2012,0.001
11/1/2012,9e-4
12/1/2012,7.000000000000001e-4
1/1/2013,7.000000000000001e-4
2/1/2013,0.001
3/1/2013,9e-4
4/1/2013,6e-4
5/1/2013,4e-4
6/1/2013,5e-4
7/1/2013,4e-4
8/1/2013,4e-4
9/1/2013,2e-4
10/1/2013,5e-4
11/1/2013,7.000000000000001e-4
12/1/2013,7.000000000000001e-4
1/1/2014,4e-4
2/1/2014,5e-4
3/1/2014,5e-4
4/1/2014,3e-4
5/1/2014,3e-4
6/1/2014,4e-4
7/1/2014,3e-4
8/1/2014,3e-4
9/1/2014,2e-4
10/1/2014,2e-4
11/1/2014,2e-4
12/1/2014,3e-4
1/1/2015,3e-4
2/1/2015,2e-4
3/1/2015,3e-4
4/1/2015,2e-4
5/1/2015,2e-4
6/1/2015,2e-4
7/1/2015,3e-4
8/1/2015,7.000000000000001e-4
9/1/2015,2e-4
10/1/2015,2e-4
11/1/2015,0.0012
12/1/2015,0.0023
1/1/2016,0.0026
2/1/2016,0.0031
3/1/2016,0.0029
4/1/2016,0.0023
5/1/2016,0.0027
6/1/2016,0.0027
7/1/2016,0.003
